Fecha Creación,Mesa,Negocio,No. Factura,Total,Categoría,Producto,Precio de venta,Cantidad,Total,Total Bruto,Impuesto,Valor Descuentos,Promoción,Valor Neto,Costo Promedio,Margen de utilidad ($),Margen de utilidad (%)
12/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4934,"$86,600.00",Toppings,Topping o salsa generico,"$2,500.00",12,"$30,000.00","$27,777.78",INC,$0.00,$0.00,"$27,777.78","$10,800.00","$16,977.78",61.12
12/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4934,"$86,600.00",Helados,Monki - Mediano,"$14,900.00",3,"$44,700.00","$41,388.89",INC,$0.00,$0.00,"$41,388.89","$9,001.29","$32,387.60",78.25
31/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM5649,"$86,400.00",Helados,Hielo - Pequeno,"$11,900.00",1,"$11,900.00","$11,018.52",INC,$0.00,$0.00,"$11,018.52","$2,147.83","$8,870.69",80.51
31/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM5649,"$86,400.00",Helados,Monki - Mediano,"$14,900.00",4,"$59,600.00","$55,185.19",INC,$0.00,$0.00,"$55,185.19","$12,001.72","$43,183.47",78.25
31/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM5649,"$86,400.00",Helados,Hielo - Mediano,"$14,900.00",1,"$14,900.00","$13,796.30",INC,$0.00,$0.00,"$13,796.30","$2,362.43","$11,433.87",82.88
2/11/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM5706,"$84,100.00",Toppings,Topping o salsa generico,"$2,500.00",11,"$27,500.00","$25,462.96",INC,$0.00,$0.00,"$25,462.96","$9,900.00","$15,562.96",61.12
2/11/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM5706,"$84,100.00",Helados,Hielo - Pequeno,"$11,900.00",1,"$11,900.00","$11,018.52",INC,$0.00,$0.00,"$11,018.52","$2,147.83","$8,870.69",80.51
2/11/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM5706,"$84,100.00",Helados,Monki - Mediano,"$14,900.00",2,"$29,800.00","$27,592.59",INC,$0.00,$0.00,"$27,592.59","$6,000.86","$21,591.73",78.25
2/11/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM5706,"$84,100.00",Helados,Hielo - Mediano,"$14,900.00",1,"$14,900.00","$13,796.30",INC,$0.00,$0.00,"$13,796.30","$2,362.43","$11,433.87",82.88
18/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM5133,"$80,400.00",Helados,Monki - Pequeno,"$11,900.00",1,"$11,900.00","$11,018.52",INC,$0.00,$0.00,"$11,018.52","$1,708.63","$9,309.89",84.49
18/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM5133,"$80,400.00",Helados,Hielo - Mediano,"$14,900.00",1,"$14,900.00","$13,796.30",INC,$0.00,$0.00,"$13,796.30","$2,362.43","$11,433.87",82.88
18/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM5133,"$80,400.00",Helados,Monki - Mediano,"$14,900.00",2,"$29,800.00","$27,592.59",INC,$0.00,$0.00,"$27,592.59","$6,000.86","$21,591.73",78.25
18/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM5133,"$80,400.00",Helados,Hielo - Pequeno,"$11,900.00",2,"$23,800.00","$22,037.04",INC,$0.00,$0.00,"$22,037.04","$4,295.66","$17,741.38",80.51
10/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1946,"$80,000.00",Toppings,Topping o salsa generico,"$2,500.00",5,"$12,500.00","$11,574.07",INC,$0.00,$0.00,"$11,574.07","$4,500.00","$7,074.07",61.12
10/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1946,"$80,000.00",Agua,Agua Brisa - 600ml,"$3,500.00",2,"$7,000.00","$6,481.48",INC,$0.00,$0.00,"$6,481.48","$3,000.00","$3,481.48",53.71
10/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1946,"$80,000.00",Helados,Monki - Mediano,"$13,900.00",2,"$27,800.00","$25,740.74",INC,$0.00,$0.00,"$25,740.74","$6,000.86","$19,739.88",76.69
10/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1946,"$80,000.00",Helados,Monki - Grande,"$16,900.00",1,"$16,900.00","$15,648.15",INC,$0.00,$0.00,"$15,648.15","$3,612.83","$12,035.32",76.91
10/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1946,"$80,000.00",Helados,Hielo - Pequeno,"$9,900.00",1,"$9,900.00","$9,166.67",INC,$0.00,$0.00,"$9,166.67","$2,147.83","$7,018.84",76.57
10/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1946,"$80,000.00",Helados,Hielo - Mini,"$5,900.00",1,"$5,900.00","$5,462.96",INC,$0.00,$0.00,"$5,462.96",$983.13,"$4,479.83",82.00
18/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM2371,"$77,300.00",Helados,Monki - Pequeno,"$10,900.00",1,"$10,900.00","$10,092.59",INC,$0.00,$0.00,"$10,092.59","$1,708.63","$8,383.96",83.07
18/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM2371,"$77,300.00",Toppings,Topping o salsa generico,"$2,500.00",2,"$5,000.00","$4,629.63",INC,$0.00,$0.00,"$4,629.63","$1,800.00","$2,829.63",61.12
18/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM2371,"$77,300.00",Helados,Cono,"$3,900.00",1,"$3,900.00","$3,611.11",INC,$0.00,$0.00,"$3,611.11","$1,314.04","$2,297.07",63.61
